,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14185,679538.098,944.3821334838868,543.1016850471497,3.1012420654296875,True,932.1733474731444,531.5073323249817,3.2889862060546875,True,
14186,679541.443,943.1241989135742,536.4587116241455,3.119293212890625,True,944.479637145996,515.597927570343,3.30865478515625,True,
14187,679544.801,935.892276763916,536.2217545509338,3.117050170898437,True,937.7871322631836,510.1834487915039,3.3287506103515625,True,
14188,679548.157,933.3231925964355,542.5249028205872,3.092437744140625,True,940.3281784057616,520.1070642471313,3.3047027587890625,True,
14189,679551.427,934.2269897460938,537.5520873069763,3.1272430419921875,True,940.9983444213868,518.5306978225708,3.30340576171875,True,
14190,679554.768,943.4497261047364,538.7675786018372,3.117538452148437,True,944.6225738525392,523.9013385772705,3.28790283203125,True,
14191,679558.129,943.0828285217284,542.9725849628448,3.1049041748046875,True,938.4634780883788,525.6392168998718,3.28045654296875,True,
14192,679561.472,941.2798118591307,542.0030307769775,3.108306884765625,True,939.5977592468262,509.73921060562134,3.3346710205078125,True,
14193,679564.755,942.1333694458008,540.4834413528442,3.1187744140625,True,943.6723136901855,517.1858811378479,3.3061065673828125,True,
14194,679568.106,943.3252716064452,542.4897873401642,3.0966796875,True,944.585666656494,528.9031863212585,3.2716217041015625,True,
14195,679571.451,943.6839866638184,539.5798373222351,3.09259033203125,True,939.4529342651368,511.1291527748108,3.3150634765625,True,
14196,679574.815,945.5469131469728,549.7125363349915,3.0898895263671875,True,942.5457000732422,516.6283464431763,3.296615600585937,True,
14197,679578.085,933.4039306640624,543.370281457901,3.107040405273437,True,944.0732574462892,527.3653149604797,3.266830444335937,True,
14198,679581.431,935.3609275817872,539.6701526641846,3.1122283935546875,True,938.7166213989258,513.9006686210632,3.30963134765625,True,
14199,679584.776,933.7334060668944,548.097095489502,3.071075439453125,True,946.5606307983398,524.5017457008362,3.2810211181640625,True,
14200,679588.136,940.653476715088,542.1411430835724,3.1167144775390625,True,942.710781097412,512.9755640029907,3.3064422607421875,True,
14201,679591.492,939.6376419067384,535.6362819671631,3.118392944335937,True,944.9361419677734,525.5591368675232,3.2800750732421875,True,
14202,679594.777,939.3945693969728,536.3751554489136,3.12701416015625,True,947.145881652832,521.1234498023987,3.2960205078125,True,
14203,679598.101,938.155460357666,543.7253952026367,3.105224609375,True,950.991096496582,533.4826183319092,3.253875732421875,True,
14204,679601.465,937.8290176391602,535.5225348472595,3.107772827148437,True,938.0029678344728,530.1769351959229,3.28057861328125,True,
14205,679604.821,943.9772415161132,548.5551416873932,3.08746337890625,True,937.5632286071776,528.2845616340637,3.2683258056640625,True,
14206,679608.085,938.6917304992676,539.862949848175,3.12030029296875,True,947.8870010375977,524.5045137405396,3.28326416015625,True,
14207,679611.423,933.5296440124512,540.7372963428497,3.09765625,True,940.8334922790528,506.49905920028687,3.336669921875,True,Square
14208,679614.787,934.3125343322754,548.4662103652954,3.080810546875,True,950.6937217712402,526.4802503585815,3.266937255859375,True,
14209,679618.144,945.622501373291,546.2641382217407,3.074432373046875,True,938.690128326416,517.5003433227539,3.2968292236328125,True,
14210,679621.506,933.123264312744,534.088625907898,3.123199462890625,True,936.1279678344728,511.8232226371765,3.3123931884765625,True,
14211,679624.77,937.1352767944336,542.2457814216614,3.0862274169921875,True,941.022720336914,505.60478925704956,3.3423614501953125,True,
14212,679628.114,935.4434967041016,527.7215552330017,3.144989013671875,True,941.6317176818848,530.2040362358093,3.257659912109375,True,
14213,679631.472,932.8082656860352,538.8121247291565,3.1206817626953125,True,936.8351554870604,509.7092127799988,3.308258056640625,True,
14214,679634.831,936.6438102722168,540.6456291675568,3.11199951171875,True,942.4157524108888,548.0634605884552,3.221664428710937,True,
14215,679638.085,933.8949966430664,541.8327641487122,3.089218139648437,True,934.512176513672,512.818751335144,3.31756591796875,True,
14216,679641.43,934.171085357666,546.3560628890991,3.084991455078125,True,955.4707717895508,510.87449312210083,3.3150787353515625,True,
14217,679644.799,934.2929077148438,539.4916462898254,3.099334716796875,True,958.4498405456544,513.8990592956543,3.30413818359375,True,
14218,679648.072,936.4172744750977,536.5853333473206,3.120956420898437,True,947.699489593506,525.049238204956,3.2698974609375,True,
14219,679651.417,936.3714981079102,539.4214153289795,3.095458984375,True,944.5378303527832,519.6240735054016,3.28411865234375,True,
14220,679654.769,937.0727920532228,539.4325518608093,3.1058502197265625,True,934.1265678405762,517.2417569160461,3.280609130859375,True,
14221,679658.124,937.51070022583,529.1999459266663,3.1218414306640625,True,939.4576263427734,513.6430478096008,3.304901123046875,True,
14222,679661.483,937.6786994934082,531.1798024177551,3.107284545898437,True,937.5528717041016,531.5612125396729,3.261474609375,True,
14223,679664.741,935.80810546875,539.0685224533081,3.1027069091796875,True,930.439796447754,510.8341312408447,3.3255767822265625,True,
14224,679668.09,934.3490982055664,543.4741795063019,3.0767059326171875,True,932.0011138916016,513.328263759613,3.306488037109375,True,
14225,679671.448,934.2652702331544,539.1215658187866,3.1037139892578125,True,934.489402770996,532.3851227760315,3.24945068359375,True,
14226,679674.802,937.609519958496,539.9468922615051,3.098602294921875,True,935.6710052490234,525.7301759719849,3.2672576904296875,True,
14227,679678.073,932.333278656006,543.3014345169067,3.0863037109375,True,936.9272804260254,529.881591796875,3.2665252685546875,True,
14228,679681.412,932.5738906860352,540.162445306778,3.084564208984375,True,931.1748504638672,515.9485030174255,3.2884063720703125,True,
14229,679684.772,930.6617546081544,538.2196354866028,3.1062469482421875,True,934.1886520385742,523.158860206604,3.2786407470703125,True,
14230,679688.134,934.9857330322266,541.6312444210052,3.081787109375,True,925.8761787414552,534.3971014022827,3.265380859375,True,
14231,679691.499,928.8819694519044,540.2281057834625,3.087387084960937,True,926.8130493164062,520.8002972602844,3.2861785888671875,True,
14232,679694.741,954.396629333496,545.1885938644409,3.074081420898437,True,945.9021377563477,534.4085597991943,3.249374389648437,True,
14233,679698.104,950.273323059082,538.3586812019348,3.0807647705078125,True,947.3482131958008,538.7681579589844,3.2305450439453125,True,
14234,679701.461,946.0791778564452,540.118510723114,3.1074371337890625,True,941.3844108581544,529.286527633667,3.251800537109375,True,
14235,679704.821,945.285587310791,540.6713140010834,3.1048583984375,True,938.7617111206056,515.566577911377,3.291473388671875,True,
14236,679708.094,945.201930999756,540.1903510093689,3.086334228515625,True,935.5674362182616,535.7523465156555,3.238983154296875,True,
14237,679711.428,946.8478775024414,548.2298970222473,3.085601806640625,True,934.3895530700684,520.5494356155396,3.2873077392578125,True,
14238,679714.786,960.7626342773438,539.1054725646973,3.1040191650390625,True,933.7685394287108,521.2597274780273,3.284088134765625,True,
14239,679718.145,955.6341934204102,539.317774772644,3.105621337890625,True,940.6874656677246,523.776068687439,3.266357421875,True,
14240,679721.414,943.3687591552734,543.1217694282532,3.0985107421875,True,936.437816619873,522.7196431159973,3.279022216796875,True,
